title,price,rating,reviews_count,free_delivery,deal_badge,amoled,hd_display,lcd,oled,gps,bluetooth,calling,alexa,heart_rate,spo2,sleep,blood_oxygen,sports,fitness_tracker,step_counter,waterproof,ip68,ip67,5atm,men,women,kids,short_name,price_segment,is_popular
"fire-boltt phoenix round smart watch 1.38″ hd display with bluetooth calling, spo2 & heart rate monitor, 120+ sports modes, ip67 waterproof, fitness tracker smartwatch for men & women - black",1199.0,3.9,100000.0,True,Limited time deal,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,fire-boltt phoenix round smart watch,Budget,0
"boat ultima ember smartwatch with 1.96” amoled display, aod, personalized fitness nudges, functional crown,100+ sports modes, create your own watchface, smartwatch for man and woman (royal berry)",2199.0,4.0,2300.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,boat ultima ember smartwatch with,Budget,1
"noise newly launched vortex plus 1.46” amoled display, aod, bt calling, sleek metal finish, 7 days battery life, all new os with 100+ watch faces & health suite (space blue)",2199.0,4.0,56200.0,True,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noise newly launched vortex plus,Budget,1
"amazfit active max(smartchoice) smart watch 1.5"" amoled display,25-day battery,offline maps,gps,4gb storage,170+sport modes,5 atm,heart rate & sleep fitness tracker, android & iphone,black",15999.0,4.5,319.0,True,,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,amazfit active max(smartchoice) smart watch,Premium,0
"fastrack jupiter r3 with 1.38"" ultra uv round display with singlesync bt calling, heart rate, spo2 & sleep tracking,ip68,nitro fast charging,upto 5 days battery- smart watch for man and woman - black",1799.0,5.0,1.0,True,,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"fastrack jupiter r3 with 1.38""",Budget,0
"noise diva smartwatch with diamond cut dial, glossy metallic finish, amoled display, mesh metal and leather strap options, 100+ watch faces, female cycle tracker smart watch for women (rose pink)",2999.0,4.2,4300.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,noise diva smartwatch with diamond,Budget,1
"boat chrome horizon, premium metal body, video watch faces, 1.51”(3.83cm) amoled round display, hrv & vo2 max, auto-activity detection, asap charge, hrv smartwatch for men & women (steel black)",3599.0,4.0,444.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"boat chrome horizon, premium metal",Mid-Range,0
"fire-boltt phoenix ultra smart watch 1.39"" hd display, bluetooth calling, ai voice assistant, 120 sports modes, ip67 waterproof, spo2 monitor smart watch for man & woman - gold",1299.0,3.9,100000.0,True,Limited time deal,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,fire-boltt phoenix ultra smart watch,Budget,0
"fire-boltt ninja call pro max bluetooth calling smart watch, 2.01"" hd display, 120+ sports modes, health suite, ai voice assistance, spo2 & heart rate monitor smartwatch for men & women - black",1199.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt ninja call pro max,Budget,0
"boat chrome horizon, premium metal body, video watch faces, 1.51”(3.83cm) amoled round display, hrv & vo2 max, auto-activity detection, asap charge, hrv smartwatch for men & women (coco brown)",3599.0,4.0,444.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"boat chrome horizon, premium metal",Mid-Range,0
"amazfit active 3 premium(smartchoice)gps running smart watch, 1.32""amoled sapphire display,12-day battery,4gb storage,offline maps, 170+workout modes, 5 atm,fitness tracker, android & ios, apex silver",15999.0,4.7,47.0,True,Limited time deal,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,amazfit active 3 premium(smartchoice)gps running,Premium,0
"fire-boltt ninja phantom smart watch 1.83” display, transparent clear body design, bluetooth calling, 120+ sports modes, voice assistant, ai outfit watch face smartwatch for men & women stealth navy",999.0,4.0,1500.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt ninja phantom smart watch,Budget,1
"noise newly launched quad call 1.81"" display, bluetooth calling smart watch, ai voice assistance, 160+hrs battery life, metallic build, in-built games, 100 sports modes, 100+ watch faces (jet black)",1399.0,4.0,10300.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,noise newly launched quad call,Budget,1
"fire-boltt axiom round smart watch 1.43″ super amoled display with always‑on mode, bluetooth calling, rotating crown, spo₂ & heart rate monitor, ip67 waterproof silicone smartwatch for men - white",1999.0,4.0,3400.0,True,,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,fire-boltt axiom round smart watch,Budget,1
"boat wave call 3 smartwatch 1.83” hd display with animated watch faces; bt calling, functional crown, multiple sports modes, ip68, hr, spo2 monitor, smart watches for men & women (spring blossom)",1399.0,4.1,25600.0,True,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,boat wave call 3 smartwatch,Budget,1
"fire-boltt legacy luxury round smart watch 1.43″ super amoled,bluetooth calling,wireless charging,voice assistant,spo₂ & heart rate monitor,110+ sports modes, metal smart watch for men & women - black",1899.0,3.8,2200.0,True,,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt legacy luxury round smart,Budget,0
"boat wave call 3 smartwatch 1.83” hd display with animated watch faces; bt calling, functional crown, multiple sports modes, ip68, hr, spo2 monitor, smart watches for men & women (metallic black)",1599.0,4.1,25600.0,True,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,boat wave call 3 smartwatch,Budget,1
fastrack limitless glide advanced ultravu hd display|bt calling|ats chipset|100+ sports modes & watchfaces|calculator|voice assistant|in-built games|24 * 7 health suite|ip68 smartwatch,1299.0,4.0,3600.0,True,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,fastrack limitless glide advanced ultravu,Budget,1
"fastrack astor fr2 pro 1.43"" amoled stainless steel smart watch with spo2, heart rate, bt calling, adaptive aod, functional crown, ai voice assistant – smartwatch for stylish professionals (gun grey)",3499.0,4.2,1100.0,True,,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"fastrack astor fr2 pro 1.43""",Mid-Range,1
"noise ultra 3 luminary with india's 1st ever personalised notification alerts (lumilert), 1.96"" amoled display, premium metallic dial, send upto 5 emojis (lumiping), health suite (silver grey)",2799.0,3.8,747.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noise ultra 3 luminary with,Budget,0
"fire-boltt rise smart watch 1.85″ with bluetooth calling, ai voice assistant, rotating crown, spo2 & heart rate monitor, 123 sports modes, ip67 waterproof metal smartwatch for men & women - silver",1299.0,4.0,40800.0,True,,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,fire-boltt rise smart watch 1.85″,Budget,1
"noise junior explorer 2 smart watch for kids with 4g sim compatible, 2-way video & voice calling, geofencing, real time location monitoring via google maps, ip68, sos emergency alerts (power pixel)",5999.0,4.3,138.0,True,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,noise junior explorer 2 smart,Mid-Range,0
"fire-boltt rise force smart watch 1.85” display, nylon–fluoroelastomer hybrid strap, rotating crown, bluetooth calling, dual button control, metal body smartwatch for men and women midnight black",999.0,4.0,1200.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,fire-boltt rise force smart watch,Budget,1
"goboult mirage smart watch 1.39''hd screen, bluetooth calling, ip67, zinc alloy frame, 500 nits brightness, ai voice assistant, spo2 monitoring, 120+ sports mode (coal black)",1799.0,3.9,54.0,True,,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,goboult mirage smart watch 1.39''hd,Budget,0
"nervfit phoenix smartwatch 1.85"" truecolor+led display, bluetooth calling, ip67 waterproof, fitness & health tracker with heart rate, spo2, stress & sleep monitoring (cloud grey silicone)",1989.0,5.0,3.0,True,,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,"nervfit phoenix smartwatch 1.85"" truecolor+led",Budget,0
"goboult rover pro smart watch 1.43'' amoled, free straps, bluetooth calling, ip68, zinc alloy frame, 1000 nits brightness, ai voice assistant, spo2, 120+ sports mode smartwatch (metal black)",1999.0,3.6,26.0,True,,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,goboult rover pro smart watch,Budget,0
